Name,Type,Full_Address,Phone,Latitude,Longitude
I For Apple,REPAIR,", , , Bengaluru, ",,12.9909208,77.7214754
Galaxy Mobiles and Computers,REPAIR,", , , Bengaluru, ",,12.958671,77.6595935
Yes Lokesh Enterprises,REPAIR,", , , Bengaluru, ",,12.9588033,77.6595967
Vodafone store,REPAIR,", , , Bengaluru, ",,12.9646605,77.6418412
Phone Fix Craft,REPAIR,", , , Bengaluru, ",,12.9556558,77.7195158
Sa Ra Recycling.,RECYCLE,"Sa Ra Recycling., No C-12, KSSIDC",,,
E wardd Recycling Pvt Ltd.,RECYCLE,"E wardd Recycling Pvt Ltd.,Plot No. 95B",,,
Terra Nova Eco Management Pvt Ltd.,RECYCLE,"Terra Nova Eco Management Pvt Ltd.,",,,
Soriaan Recyclers Private Limited.,RECYCLE,"Soriaan Recyclers Private Limited.,",,,
E R3 Solutions Pvt Ltd.,RECYCLE,"E R3 Solutions Pvt Ltd., located at plot",,,
Limited.,RECYCLE,"Limited., Plot No.68/B, Sy No. 188, 3 30.06.2026",,,
communication and Network Pvt Ltd).,RECYCLE,"communication and Network Pvt Ltd).,",,,
Best E-waste Recyclers Pvt Ltd.,RECYCLE,"Best E-waste Recyclers Pvt Ltd., Plot",,,
Earth Care E-waste Private Limited.,RECYCLE,"Earth Care E-waste Private Limited., Plot",,,
Earth Sense Recycle Pvt Ltd ,RECYCLE,"Earth Sense Recycle Pvt Ltd , Industrial",,,
36 | E-Parisara Pvt Ltd,RECYCLE,"36 | E-Parisara Pvt Ltd, 2424 30.06.2024",,,
3 | Saahas Waste Management Pvt Ltd.,RECYCLE,"3 | Saahas Waste Management Pvt Ltd., Plot",,,
Trishyiraya Recycling India pvt Ltd,RECYCLE,"Trishyiraya Recycling India pvt Ltd,",,,
Ltd.,RECYCLE,"Ltd.,. No. B-29, KSSIDC Indl. Estate, 30.06.2027",,,
Ltd.,RECYCLE,"Ltd.,Sy. No- 224/59/9 of Kengal",,,
7 | Ingram Micro India Private Limited.,RECYCLE,"7 | Ingram Micro India Private Limited., Plot",,,
Ltd.,RECYCLE,"Ltd.,Plot.No.7, Road No.10,  EPIP,",,,
